"YEAR","GEOID","NAME","large","micro","sm10to49","sm5to9","x"
1998,"Zip Code 02111","Zip Code 02111",76,455,253,184,0
1998,"Zip Code 02113","Zip Code 02113",3,91,38,39,0
1998,"Zip Code 02114","Zip Code 02114",58,433,168,137,0
1998,"Zip Code 02115","Zip Code 02115",64,234,180,139,0
1998,"Zip Code 02116","Zip Code 02116",231,950,557,445,0
1998,"Zip Code 02118","Zip Code 02118",42,315,151,140,0
1998,"Zip Code 02119","Zip Code 02119",25,177,91,62,0
1998,"Zip Code 02120","Zip Code 02120",5,74,20,36,0
1998,"Zip Code 02121","Zip Code 02121",5,83,24,27,0
1998,"Zip Code 02122","Zip Code 02122",23,226,104,99,0
1998,"Zip Code 02124","Zip Code 02124",17,276,83,88,0
1998,"Zip Code 02125","Zip Code 02125",33,183,74,76,0
1998,"Zip Code 02126","Zip Code 02126",7,131,47,38,0
1998,"Zip Code 02127","Zip Code 02127",45,294,151,118,0
1998,"Zip Code 02128","Zip Code 02128",66,293,146,132,0
1998,"Zip Code 02129","Zip Code 02129",42,201,100,70,0
1998,"Zip Code 02130","Zip Code 02130",35,309,123,101,0
1998,"Zip Code 02131","Zip Code 02131",13,220,67,66,0
1998,"Zip Code 02132","Zip Code 02132",25,269,94,74,0
1998,"Zip Code 02134","Zip Code 02134",48,251,121,92,0
1998,"Zip Code 02135","Zip Code 02135",60,352,127,145,0
1998,"Zip Code 02136","Zip Code 02136",17,232,85,79,0
1998,"Zip Code 02210","Zip Code 02210",92,299,226,150,0
1998,"Zip Code 02215","Zip Code 02215",71,268,167,113,0
1998,"Zip Codes 02108-10","Zip Codes 02108-10",401,2322,996,756,0
1999,"Zip Code 02111","Zip Code 02111",80,473,252,167,0
1999,"Zip Code 02113","Zip Code 02113",2,94,43,35,0
1999,"Zip Code 02114","Zip Code 02114",60,462,169,132,0
1999,"Zip Code 02115","Zip Code 02115",71,292,176,123,0
1999,"Zip Code 02116","Zip Code 02116",238,978,565,420,0
1999,"Zip Code 02118","Zip Code 02118",48,325,159,126,0
1999,"Zip Code 02119","Zip Code 02119",31,170,92,67,0
1999,"Zip Code 02120","Zip Code 02120",5,74,29,33,0
1999,"Zip Code 02121","Zip Code 02121",7,89,27,24,0
1999,"Zip Code 02122","Zip Code 02122",24,248,106,106,0
1999,"Zip Code 02124","Zip Code 02124",20,288,90,100,0
1999,"Zip Code 02125","Zip Code 02125",37,222,80,78,0
1999,"Zip Code 02126","Zip Code 02126",7,134,49,40,0
1999,"Zip Code 02127","Zip Code 02127",50,305,147,120,0
1999,"Zip Code 02128","Zip Code 02128",76,287,139,139,0
1999,"Zip Code 02129","Zip Code 02129",45,198,101,82,0
1999,"Zip Code 02130","Zip Code 02130",38,368,119,103,0
1999,"Zip Code 02131","Zip Code 02131",14,221,65,74,0
1999,"Zip Code 02132","Zip Code 02132",23,273,100,79,0
1999,"Zip Code 02134","Zip Code 02134",51,272,117,99,0
1999,"Zip Code 02135","Zip Code 02135",60,413,136,136,0
1999,"Zip Code 02136","Zip Code 02136",21,242,83,85,0
1999,"Zip Code 02210","Zip Code 02210",88,307,231,157,0
1999,"Zip Code 02215","Zip Code 02215",73,278,162,106,0
1999,"Zip Codes 02108-10","Zip Codes 02108-10",415,2221,1050,734,0
2000,"Zip Code 02111","Zip Code 02111",84,460,271,177,0
2000,"Zip Code 02113","Zip Code 02113",2,92,43,39,0
2000,"Zip Code 02114","Zip Code 02114",63,438,188,142,0
2000,"Zip Code 02115","Zip Code 02115",71,264,171,158,0
2000,"Zip Code 02116","Zip Code 02116",250,966,590,431,0
2000,"Zip Code 02118","Zip Code 02118",43,330,172,125,0
2000,"Zip Code 02119","Zip Code 02119",33,180,96,66,0
2000,"Zip Code 02120","Zip Code 02120",5,86,30,33,0
2000,"Zip Code 02121","Zip Code 02121",9,87,30,26,0
2000,"Zip Code 02122","Zip Code 02122",27,277,108,96,0
2000,"Zip Code 02124","Zip Code 02124",21,314,91,100,0
2000,"Zip Code 02125","Zip Code 02125",43,206,85,84,0
2000,"Zip Code 02126","Zip Code 02126",6,154,46,36,0
2000,"Zip Code 02127","Zip Code 02127",50,300,154,113,0
2000,"Zip Code 02128","Zip Code 02128",79,291,144,122,0
2000,"Zip Code 02129","Zip Code 02129",43,195,115,78,0
2000,"Zip Code 02130","Zip Code 02130",38,393,122,117,0
2000,"Zip Code 02131","Zip Code 02131",14,222,73,72,0
2000,"Zip Code 02132","Zip Code 02132",31,273,88,87,0
2000,"Zip Code 02134","Zip Code 02134",55,256,119,95,0
2000,"Zip Code 02135","Zip Code 02135",62,418,130,134,0
2000,"Zip Code 02136","Zip Code 02136",23,258,81,75,0
2000,"Zip Code 02210","Zip Code 02210",100,280,222,152,0
2000,"Zip Code 02215","Zip Code 02215",64,264,173,124,0
2000,"Zip Codes 02108-10","Zip Codes 02108-10",419,2265,1041,776,0
2001,"Zip Code 02111","Zip Code 02111",95,460,242,168,0
2001,"Zip Code 02113","Zip Code 02113",2,82,44,37,0
2001,"Zip Code 02114","Zip Code 02114",58,470,173,142,0
2001,"Zip Code 02115","Zip Code 02115",69,270,165,134,0
2001,"Zip Code 02116","Zip Code 02116",255,904,584,457,0
2001,"Zip Code 02118","Zip Code 02118",48,337,182,113,0
2001,"Zip Code 02119","Zip Code 02119",29,203,100,62,0
2001,"Zip Code 02120","Zip Code 02120",8,92,32,30,0
2001,"Zip Code 02121","Zip Code 02121",10,102,20,33,0
2001,"Zip Code 02122","Zip Code 02122",23,268,108,111,0
2001,"Zip Code 02124","Zip Code 02124",19,322,89,94,0
2001,"Zip Code 02125","Zip Code 02125",36,211,84,80,0
2001,"Zip Code 02126","Zip Code 02126",8,142,42,41,0
2001,"Zip Code 02127","Zip Code 02127",56,306,126,128,0
2001,"Zip Code 02128","Zip Code 02128",73,318,151,117,0
2001,"Zip Code 02129","Zip Code 02129",44,198,114,79,0
2001,"Zip Code 02130","Zip Code 02130",38,389,110,118,0
2001,"Zip Code 02131","Zip Code 02131",13,225,69,78,0
2001,"Zip Code 02132","Zip Code 02132",27,253,98,91,0
2001,"Zip Code 02134","Zip Code 02134",53,245,115,100,0
2001,"Zip Code 02135","Zip Code 02135",63,417,138,127,0
2001,"Zip Code 02136","Zip Code 02136",21,259,77,73,0
2001,"Zip Code 02210","Zip Code 02210",104,269,226,147,0
2001,"Zip Code 02215","Zip Code 02215",71,288,164,120,0
2001,"Zip Codes 02108-10","Zip Codes 02108-10",415,2163,1050,752,0
2002,"Zip Code 02111","Zip Code 02111",86,472,240,160,0
2002,"Zip Code 02113","Zip Code 02113",2,101,53,28,0
2002,"Zip Code 02114","Zip Code 02114",56,372,172,141,0
2002,"Zip Code 02115","Zip Code 02115",60,259,169,120,0
2002,"Zip Code 02116","Zip Code 02116",240,908,577,451,0
2002,"Zip Code 02118","Zip Code 02118",50,360,174,122,0
2002,"Zip Code 02119","Zip Code 02119",34,208,102,58,0
2002,"Zip Code 02120","Zip Code 02120",11,93,36,35,0
2002,"Zip Code 02121","Zip Code 02121",9,100,25,44,0
2002,"Zip Code 02122","Zip Code 02122",26,269,108,104,0
2002,"Zip Code 02124","Zip Code 02124",18,328,91,104,0
2002,"Zip Code 02125","Zip Code 02125",39,214,94,77,0
2002,"Zip Code 02126","Zip Code 02126",7,167,33,44,0
2002,"Zip Code 02127","Zip Code 02127",50,296,143,137,0
2002,"Zip Code 02128","Zip Code 02128",63,344,144,134,0
2002,"Zip Code 02129","Zip Code 02129",45,188,112,80,0
2002,"Zip Code 02130","Zip Code 02130",38,390,110,124,0
2002,"Zip Code 02131","Zip Code 02131",11,259,79,68,0
2002,"Zip Code 02132","Zip Code 02132",29,246,96,94,0
2002,"Zip Code 02134","Zip Code 02134",40,266,116,106,0
2002,"Zip Code 02135","Zip Code 02135",64,419,150,124,0
2002,"Zip Code 02136","Zip Code 02136",22,236,74,93,0
2002,"Zip Code 02210","Zip Code 02210",111,260,215,139,0
2002,"Zip Code 02215","Zip Code 02215",66,287,159,107,0
2002,"Zip Codes 02108-10","Zip Codes 02108-10",407,2130,1020,761,0
2003,"Zip Code 02111","Zip Code 02111",74,423,253,167,0
2003,"Zip Code 02113","Zip Code 02113",3,94,42,41,0
2003,"Zip Code 02114","Zip Code 02114",61,386,171,130,0
2003,"Zip Code 02115","Zip Code 02115",65,268,170,104,0
2003,"Zip Code 02116","Zip Code 02116",237,891,566,458,0
2003,"Zip Code 02118","Zip Code 02118",52,383,171,132,0
2003,"Zip Code 02119","Zip Code 02119",33,248,94,72,0
2003,"Zip Code 02120","Zip Code 02120",12,100,35,34,0
2003,"Zip Code 02121","Zip Code 02121",11,117,27,34,0
2003,"Zip Code 02122","Zip Code 02122",26,271,118,100,0
2003,"Zip Code 02124","Zip Code 02124",20,350,103,92,0
2003,"Zip Code 02125","Zip Code 02125",38,232,93,72,0
2003,"Zip Code 02126","Zip Code 02126",7,169,38,47,0
2003,"Zip Code 02127","Zip Code 02127",46,303,146,128,0
2003,"Zip Code 02128","Zip Code 02128",66,359,156,131,0
2003,"Zip Code 02129","Zip Code 02129",43,191,118,75,0
2003,"Zip Code 02130","Zip Code 02130",35,409,108,122,0
2003,"Zip Code 02131","Zip Code 02131",12,274,80,76,0
2003,"Zip Code 02132","Zip Code 02132",30,251,90,91,0
2003,"Zip Code 02134","Zip Code 02134",38,281,119,96,0
2003,"Zip Code 02135","Zip Code 02135",62,423,142,134,0
2003,"Zip Code 02136","Zip Code 02136",19,252,78,96,0
2003,"Zip Code 02210","Zip Code 02210",108,273,196,135,0
2003,"Zip Code 02215","Zip Code 02215",69,262,178,109,0
2003,"Zip Codes 02108-10","Zip Codes 02108-10",405,2082,988,733,0
2004,"Zip Code 02111","Zip Code 02111",73,417,227,166,0
2004,"Zip Code 02113","Zip Code 02113",2,96,45,31,0
2004,"Zip Code 02114","Zip Code 02114",56,367,179,138,0
2004,"Zip Code 02115","Zip Code 02115",65,270,165,99,0
2004,"Zip Code 02116","Zip Code 02116",229,928,569,443,0
2004,"Zip Code 02118","Zip Code 02118",48,363,176,125,0
2004,"Zip Code 02119","Zip Code 02119",29,196,97,61,0
2004,"Zip Code 02120","Zip Code 02120",11,82,40,26,0
2004,"Zip Code 02121","Zip Code 02121",10,90,28,36,0
2004,"Zip Code 02122","Zip Code 02122",25,232,119,100,0
2004,"Zip Code 02124","Zip Code 02124",17,304,107,83,0
2004,"Zip Code 02125","Zip Code 02125",35,185,94,72,0
2004,"Zip Code 02126","Zip Code 02126",6,132,39,49,0
2004,"Zip Code 02127","Zip Code 02127",44,307,157,118,0
2004,"Zip Code 02128","Zip Code 02128",68,331,149,130,0
2004,"Zip Code 02129","Zip Code 02129",37,217,107,75,0
2004,"Zip Code 02130","Zip Code 02130",30,355,122,113,0
2004,"Zip Code 02131","Zip Code 02131",14,252,83,78,0
2004,"Zip Code 02132","Zip Code 02132",29,243,92,91,0
2004,"Zip Code 02134","Zip Code 02134",35,296,115,92,0
2004,"Zip Code 02135","Zip Code 02135",60,384,145,137,0
2004,"Zip Code 02136","Zip Code 02136",18,237,83,78,0
2004,"Zip Code 02210","Zip Code 02210",103,265,198,134,0
2004,"Zip Code 02215","Zip Code 02215",70,249,174,106,0
2004,"Zip Codes 02108-10","Zip Codes 02108-10",391,2120,992,751,0
2005,"Zip Code 02111","Zip Code 02111",77,417,231,170,0
2005,"Zip Code 02113","Zip Code 02113",2,96,48,37,0
2005,"Zip Code 02114","Zip Code 02114",53,369,160,129,0
2005,"Zip Code 02115","Zip Code 02115",62,248,165,88,0
2005,"Zip Code 02116","Zip Code 02116",231,908,549,454,0
2005,"Zip Code 02118","Zip Code 02118",50,371,170,116,0
2005,"Zip Code 02119","Zip Code 02119",27,183,101,67,0
2005,"Zip Code 02120","Zip Code 02120",12,83,36,29,0
2005,"Zip Code 02121","Zip Code 02121",10,102,31,39,0
2005,"Zip Code 02122","Zip Code 02122",27,236,108,102,0
2005,"Zip Code 02124","Zip Code 02124",15,298,99,99,0
2005,"Zip Code 02125","Zip Code 02125",40,204,87,61,0
2005,"Zip Code 02126","Zip Code 02126",8,136,31,46,0
2005,"Zip Code 02127","Zip Code 02127",45,314,151,113,0
2005,"Zip Code 02128","Zip Code 02128",69,338,136,136,0
2005,"Zip Code 02129","Zip Code 02129",36,217,113,79,0
2005,"Zip Code 02130","Zip Code 02130",37,330,121,109,0
2005,"Zip Code 02131","Zip Code 02131",12,264,79,76,0
2005,"Zip Code 02132","Zip Code 02132",33,249,92,98,0
2005,"Zip Code 02134","Zip Code 02134",36,285,117,83,0
2005,"Zip Code 02135","Zip Code 02135",63,386,129,139,0
2005,"Zip Code 02136","Zip Code 02136",16,243,82,79,0
2005,"Zip Code 02210","Zip Code 02210",105,247,202,125,0
2005,"Zip Code 02215","Zip Code 02215",65,230,170,119,0
2005,"Zip Codes 02108-10","Zip Codes 02108-10",380,2060,989,725,0
2006,"Zip Code 02111","Zip Code 02111",83,408,246,168,0
2006,"Zip Code 02113","Zip Code 02113",3,91,48,31,0
2006,"Zip Code 02114","Zip Code 02114",63,347,155,132,0
2006,"Zip Code 02115","Zip Code 02115",63,234,163,104,0
2006,"Zip Code 02116","Zip Code 02116",228,966,570,413,0
2006,"Zip Code 02118","Zip Code 02118",43,368,189,122,0
2006,"Zip Code 02119","Zip Code 02119",30,182,102,64,0
2006,"Zip Code 02120","Zip Code 02120",11,81,42,30,0
2006,"Zip Code 02121","Zip Code 02121",9,98,34,33,0
2006,"Zip Code 02122","Zip Code 02122",27,232,99,99,0
2006,"Zip Code 02124","Zip Code 02124",14,281,104,92,0
2006,"Zip Code 02125","Zip Code 02125",33,199,100,71,0
2006,"Zip Code 02126","Zip Code 02126",8,138,34,40,0
2006,"Zip Code 02127","Zip Code 02127",41,288,154,115,0
2006,"Zip Code 02128","Zip Code 02128",72,328,135,152,0
2006,"Zip Code 02129","Zip Code 02129",37,202,114,83,0
2006,"Zip Code 02130","Zip Code 02130",37,323,128,109,0
2006,"Zip Code 02131","Zip Code 02131",12,258,76,77,0
2006,"Zip Code 02132","Zip Code 02132",33,263,84,94,0
2006,"Zip Code 02134","Zip Code 02134",38,263,110,108,0
2006,"Zip Code 02135","Zip Code 02135",53,382,142,136,0
2006,"Zip Code 02136","Zip Code 02136",17,234,77,69,0
2006,"Zip Code 02210","Zip Code 02210",96,241,204,138,0
2006,"Zip Code 02215","Zip Code 02215",71,238,169,121,0
2006,"Zip Codes 02108-10","Zip Codes 02108-10",390,2052,1010,741,0
2007,"Zip Code 02111","Zip Code 02111",80,404,252,168,0
2007,"Zip Code 02113","Zip Code 02113",4,81,46,35,0
2007,"Zip Code 02114","Zip Code 02114",57,338,171,113,0
2007,"Zip Code 02115","Zip Code 02115",64,216,166,106,0
2007,"Zip Code 02116","Zip Code 02116",254,886,591,435,0
2007,"Zip Code 02118","Zip Code 02118",45,359,204,107,0
2007,"Zip Code 02119","Zip Code 02119",29,205,110,60,0
2007,"Zip Code 02120","Zip Code 02120",9,82,48,29,0
2007,"Zip Code 02121","Zip Code 02121",10,101,28,33,0
2007,"Zip Code 02122","Zip Code 02122",28,222,100,92,0
2007,"Zip Code 02124","Zip Code 02124",19,288,99,97,0
2007,"Zip Code 02125","Zip Code 02125",35,190,85,82,0
2007,"Zip Code 02126","Zip Code 02126",4,118,43,49,0
2007,"Zip Code 02127","Zip Code 02127",39,299,152,124,0
2007,"Zip Code 02128","Zip Code 02128",70,312,146,167,0
2007,"Zip Code 02129","Zip Code 02129",38,208,112,82,0
2007,"Zip Code 02130","Zip Code 02130",38,302,113,134,0
2007,"Zip Code 02131","Zip Code 02131",10,257,69,66,0
2007,"Zip Code 02132","Zip Code 02132",29,258,95,81,0
2007,"Zip Code 02134","Zip Code 02134",38,282,118,92,0
2007,"Zip Code 02135","Zip Code 02135",57,402,146,125,0
2007,"Zip Code 02136","Zip Code 02136",12,208,92,76,0
2007,"Zip Code 02210","Zip Code 02210",111,236,200,134,0
2007,"Zip Code 02215","Zip Code 02215",69,232,173,105,0
2007,"Zip Codes 02108-10","Zip Codes 02108-10",405,1936,1057,757,0
2008,"Zip Code 02111","Zip Code 02111",81,390,253,177,0
2008,"Zip Code 02113","Zip Code 02113",3,84,48,36,0
2008,"Zip Code 02114","Zip Code 02114",57,339,170,111,0
2008,"Zip Code 02115","Zip Code 02115",67,254,172,96,0
2008,"Zip Code 02116","Zip Code 02116",257,903,617,437,0
2008,"Zip Code 02118","Zip Code 02118",51,350,197,120,0
2008,"Zip Code 02119","Zip Code 02119",28,183,113,72,0
2008,"Zip Code 02120","Zip Code 02120",11,81,45,26,0
2008,"Zip Code 02121","Zip Code 02121",11,87,30,35,0
2008,"Zip Code 02122","Zip Code 02122",33,209,101,95,0
2008,"Zip Code 02124","Zip Code 02124",17,266,107,99,0
2008,"Zip Code 02125","Zip Code 02125",31,202,98,85,0
2008,"Zip Code 02126","Zip Code 02126",5,121,39,55,0
2008,"Zip Code 02127","Zip Code 02127",44,325,136,123,0
2008,"Zip Code 02128","Zip Code 02128",72,334,148,167,0
2008,"Zip Code 02129","Zip Code 02129",38,214,114,74,0
2008,"Zip Code 02130","Zip Code 02130",38,300,137,109,0
2008,"Zip Code 02131","Zip Code 02131",9,245,72,63,0
2008,"Zip Code 02132","Zip Code 02132",26,253,89,85,0
2008,"Zip Code 02134","Zip Code 02134",39,267,121,95,0
2008,"Zip Code 02135","Zip Code 02135",54,371,137,143,0
2008,"Zip Code 02136","Zip Code 02136",12,198,86,90,0
2008,"Zip Code 02210","Zip Code 02210",112,249,212,121,0
2008,"Zip Code 02215","Zip Code 02215",68,214,180,120,0
2008,"Zip Codes 02108-10","Zip Codes 02108-10",408,1926,1072,735,0
2009,"Zip Code 02111","Zip Code 02111",89,365,260,181,0
2009,"Zip Code 02113","Zip Code 02113",3,80,47,39,0
2009,"Zip Code 02114","Zip Code 02114",56,327,174,104,0
2009,"Zip Code 02115","Zip Code 02115",67,239,170,110,0
2009,"Zip Code 02116","Zip Code 02116",246,908,597,418,0
2009,"Zip Code 02118","Zip Code 02118",47,373,192,118,0
2009,"Zip Code 02119","Zip Code 02119",25,183,116,72,0
2009,"Zip Code 02120","Zip Code 02120",12,78,38,35,0
2009,"Zip Code 02121","Zip Code 02121",10,96,28,37,0
2009,"Zip Code 02122","Zip Code 02122",25,213,101,97,0
2009,"Zip Code 02124","Zip Code 02124",21,284,101,79,0
2009,"Zip Code 02125","Zip Code 02125",32,204,100,66,0
2009,"Zip Code 02126","Zip Code 02126",7,123,37,49,0
2009,"Zip Code 02127","Zip Code 02127",41,320,135,127,0
2009,"Zip Code 02128","Zip Code 02128",75,331,154,162,0
2009,"Zip Code 02129","Zip Code 02129",35,206,108,81,0
2009,"Zip Code 02130","Zip Code 02130",37,299,116,112,0
2009,"Zip Code 02131","Zip Code 02131",10,234,71,71,0
2009,"Zip Code 02132","Zip Code 02132",26,247,98,75,0
2009,"Zip Code 02134","Zip Code 02134",36,255,113,88,0
2009,"Zip Code 02135","Zip Code 02135",49,375,136,141,0
2009,"Zip Code 02136","Zip Code 02136",12,220,89,71,0
2009,"Zip Code 02210","Zip Code 02210",104,274,207,115,0
2009,"Zip Code 02215","Zip Code 02215",69,230,176,118,0
2009,"Zip Codes 02108-10","Zip Codes 02108-10",381,1905,1062,704,0
