"YEAR","GEOID","NAME","total_occupied_units","no_vehicles","one_or_more_vehicles"
1960,25025000101,"Census Tract 1.01",616,226,390
1960,25025000102,"Census Tract 1.02",725,266,459
1960,25025000201,"Census Tract 2.01",1353,360,993
1960,25025000202,"Census Tract 2.02",1404,373,1031
1960,25025000301,"Census Tract 3.01",786,142,644
1960,25025000302,"Census Tract 3.02",778,140,638
1960,25025000401,"Census Tract 4.01",1825,553,1272
1960,25025000402,"Census Tract 4.02",1129,342,787
1960,25025000502,"Census Tract 5.02",1881,728,1153
1960,25025000503,"Census Tract 5.03",808,313,495
1960,25025000505,"Census Tract 5.05",710,275,435
1960,25025000506,"Census Tract 5.06",947,366,581
1960,25025000601,"Census Tract 6.01",1210,516,694
1960,25025000603,"Census Tract 6.03",617,263,354
1960,25025000604,"Census Tract 6.04",1008,430,578
1960,25025000701,"Census Tract 7.01",1785,901,884
1960,25025000703,"Census Tract 7.03",970,489,481
1960,25025000704,"Census Tract 7.04",1959,989,970
1960,25025000804,"Census Tract 8.04",665,288,377
1960,25025000805,"Census Tract 8.05",821,356,465
1960,25025000806,"Census Tract 8.06",388,168,220
1960,25025000807,"Census Tract 8.07",353,153,200
1960,25025010103,"Census Tract 101.03",577,264,313
1960,25025010104,"Census Tract 101.04",866,397,469
1960,25025010204,"Census Tract 102.04",1633,888,745
1960,25025010205,"Census Tract 102.05",1269,690,579
1960,25025010206,"Census Tract 102.06",939,511,428
1960,25025010300,"Census Tract 103",1069,704,365
1960,25025010403,"Census Tract 104.03",1106,819,287
1960,25025010404,"Census Tract 104.04",1450,1073,377
1960,25025010405,"Census Tract 104.05",1898,1398,500
1960,25025010408,"Census Tract 104.08",730,397,333
1960,25025010500,"Census Tract 105",1430,1009,421
1960,25025010600,"Census Tract 106",1540,1234,306
1960,25025010701,"Census Tract 107.01",1363,699,664
1960,25025010702,"Census Tract 107.02",1308,672,636
1960,25025010801,"Census Tract 108.01",1517,719,798
1960,25025010802,"Census Tract 108.02",1583,750,833
1960,25025020101,"Census Tract 201.01",2671,1256,1415
1960,25025020200,"Census Tract 202",1896,1194,702
1960,25025020301,"Census Tract 203.01",345,257,88
1960,25025020302,"Census Tract 203.02",1529,1292,237
1960,25025020304,"Census Tract 203.04",136,115,21
1960,25025020305,"Census Tract 203.05",264,212,52
1960,25025030100,"Census Tract 301",1139,786,353
1960,25025030200,"Census Tract 302",721,491,230
1960,25025030301,"Census Tract 303.01",50,33,17
1960,25025030302,"Census Tract 303.02",1155,1019,136
1960,25025030400,"Census Tract 304",1304,867,437
1960,25025030500,"Census Tract 305",870,626,244
1960,25025040100,"Census Tract 401",874,520,354
1960,25025040200,"Census Tract 402",737,448,289
1960,25025040300,"Census Tract 403",1720,908,812
1960,25025040401,"Census Tract 404.01",991,547,444
1960,25025040600,"Census Tract 406",1107,564,543
1960,25025040801,"Census Tract 408.01",548,423,125
1960,25025050101,"Census Tract 501.01",1311,481,830
1960,25025050200,"Census Tract 502",1648,931,717
1960,25025050300,"Census Tract 503",647,453,194
1960,25025050400,"Census Tract 504",760,414,346
1960,25025050500,"Census Tract 505",726,376,350
1960,25025050600,"Census Tract 506",755,444,311
1960,25025050700,"Census Tract 507",1543,840,703
1960,25025050901,"Census Tract 509.01",1511,589,922
1960,25025051000,"Census Tract 510",1199,406,793
1960,25025051101,"Census Tract 511.01",2008,608,1400
1960,25025051200,"Census Tract 512",1173,551,622
1960,25025060101,"Census Tract 601.01",1291,538,753
1960,25025060200,"Census Tract 602",972,448,524
1960,25025060301,"Census Tract 603.01",1424,652,772
1960,25025060400,"Census Tract 604",2072,1198,874
1960,25025060501,"Census Tract 605.01",1598,961,637
1960,25025060601,"Census Tract 606.01",339,197,142
1960,25025060602,"Census Tract 606.02",24,14,10
1960,25025060603,"Census Tract 606.03",15,9,6
1960,25025060604,"Census Tract 606.04",49,28,21
1960,25025060700,"Census Tract 607",946,706,240
1960,25025060800,"Census Tract 608",1676,1110,566
1960,25025061000,"Census Tract 610",1353,900,453
1960,25025061101,"Census Tract 611.01",958,717,241
1960,25025061201,"Census Tract 612.01",695,461,234
1960,25025061202,"Census Tract 612.02",,,
1960,25025061203,"Census Tract 612.03",218,135,83
1960,25025061204,"Census Tract 612.04",42,26,16
1960,25025070102,"Census Tract 701.02",169,154,15
1960,25025070103,"Census Tract 701.03",8,7,1
1960,25025070104,"Census Tract 701.04",65,59,6
1960,25025070201,"Census Tract 702.01",426,329,97
1960,25025070202,"Census Tract 702.02",965,808,157
1960,25025070301,"Census Tract 703.01",1591,1283,308
1960,25025070302,"Census Tract 703.02",981,789,192
1960,25025070402,"Census Tract 704.02",800,646,154
1960,25025070501,"Census Tract 705.01",1455,1128,327
1960,25025070502,"Census Tract 705.02",2379,1744,635
1960,25025070600,"Census Tract 706",2178,1769,409
1960,25025070700,"Census Tract 707",1190,921,269
1960,25025070801,"Census Tract 708.01",507,385,122
1960,25025070802,"Census Tract 708.02",1418,1076,342
1960,25025070901,"Census Tract 709.01",596,442,154
1960,25025070902,"Census Tract 709.02",1005,746,259
1960,25025071101,"Census Tract 711.01",1555,1241,314
1960,25025071201,"Census Tract 712.01",936,722,214
1960,25025080100,"Census Tract 801",970,529,441
1960,25025080300,"Census Tract 803",1263,877,386
1960,25025080401,"Census Tract 804.01",1437,1102,335
1960,25025080500,"Census Tract 805",1399,1092,307
1960,25025080601,"Census Tract 806.01",1124,886,238
1960,25025080801,"Census Tract 808.01",1698,1212,486
1960,25025080900,"Census Tract 809",1267,683,584
1960,25025081001,"Census Tract 810.01",1663,769,894
1960,25025081101,"Census Tract 811.01",326,158,168
1960,25025081102,"Census Tract 811.02",702,346,356
1960,25025081200,"Census Tract 812",1627,951,676
1960,25025081301,"Census Tract 813.01",510,302,208
1960,25025081302,"Census Tract 813.02",712,422,290
1960,25025081400,"Census Tract 814",1656,1030,626
1960,25025081500,"Census Tract 815",1180,635,545
1960,25025081700,"Census Tract 817",2257,1418,839
1960,25025081800,"Census Tract 818",1458,765,693
1960,25025081900,"Census Tract 819",1953,1099,854
1960,25025082000,"Census Tract 820",1392,785,607
1960,25025082100,"Census Tract 821",2103,963,1140
1960,25025090100,"Census Tract 901",2052,990,1062
1960,25025090200,"Census Tract 902",890,443,447
1960,25025090300,"Census Tract 903",1469,841,628
1960,25025090400,"Census Tract 904",1876,1017,859
1960,25025090600,"Census Tract 906",1141,593,548
1960,25025090700,"Census Tract 907",1808,806,1002
1960,25025090901,"Census Tract 909.01",1086,627,459
1960,25025091001,"Census Tract 910.01",1446,834,612
1960,25025091100,"Census Tract 911",1790,730,1060
1960,25025091200,"Census Tract 912",1159,516,643
1960,25025091300,"Census Tract 913",969,467,502
1960,25025091400,"Census Tract 914",1202,650,552
1960,25025091500,"Census Tract 915",1541,671,870
1960,25025091600,"Census Tract 916",1153,435,718
1960,25025091700,"Census Tract 917",1113,290,823
1960,25025091800,"Census Tract 918",1431,523,908
1960,25025091900,"Census Tract 919",1438,509,929
1960,25025092000,"Census Tract 920",1798,656,1142
1960,25025092101,"Census Tract 921.01",2264,878,1386
1960,25025092200,"Census Tract 922",1223,356,867
1960,25025092300,"Census Tract 923",1194,501,693
1960,25025092400,"Census Tract 924",2526,1158,1368
1960,25025100100,"Census Tract 1001",2353,884,1469
1960,25025100200,"Census Tract 1002",1285,478,807
1960,25025100300,"Census Tract 1003",1364,352,1012
1960,25025100400,"Census Tract 1004",1655,504,1151
1960,25025100500,"Census Tract 1005",2157,774,1383
1960,25025100601,"Census Tract 1006.01",1878,662,1216
1960,25025100603,"Census Tract 1006.03",721,254,467
1960,25025100700,"Census Tract 1007",1595,330,1265
1960,25025100800,"Census Tract 1008",1738,429,1309
1960,25025100900,"Census Tract 1009",1267,249,1018
1960,25025101001,"Census Tract 1010.01",1406,261,1145
1960,25025101002,"Census Tract 1010.02",1280,238,1042
1960,25025101101,"Census Tract 1011.01",1266,363,903
1960,25025101102,"Census Tract 1011.02",1727,487,1240
1960,25025110104,"Census Tract 1101.04",715,241,474
1960,25025110105,"Census Tract 1101.05",811,278,533
1960,25025110106,"Census Tract 1101.06",472,162,310
1960,25025110201,"Census Tract 1102.01",406,132,274
1960,25025110301,"Census Tract 1103.01",740,153,587
1960,25025110401,"Census Tract 1104.01",1036,226,810
1960,25025110403,"Census Tract 1104.03",1207,260,947
1960,25025110501,"Census Tract 1105.01",1249,336,913
1960,25025110502,"Census Tract 1105.02",1374,370,1004
1960,25025110601,"Census Tract 1106.01",862,187,675
1960,25025110607,"Census Tract 1106.07",1955,425,1530
1960,25025120103,"Census Tract 1201.03",535,122,413
1960,25025120104,"Census Tract 1201.04",800,182,618
1960,25025120105,"Census Tract 1201.05",861,196,665
1960,25025120201,"Census Tract 1202.01",1261,537,724
1960,25025120301,"Census Tract 1203.01",1863,642,1221
1960,25025120400,"Census Tract 1204",2319,911,1408
1960,25025120500,"Census Tract 1205",929,396,533
1960,25025120600,"Census Tract 1206",1044,423,621
1960,25025120700,"Census Tract 1207",701,207,494
1960,25025130101,"Census Tract 1301.01",1791,196,1595
1960,25025130200,"Census Tract 1302",1728,253,1475
1960,25025130300,"Census Tract 1303",1587,288,1299
1960,25025130402,"Census Tract 1304.02",1078,168,910
1960,25025130404,"Census Tract 1304.04",542,84,458
1960,25025130406,"Census Tract 1304.06",956,177,779
1960,25025140102,"Census Tract 1401.02",944,208,736
1960,25025140105,"Census Tract 1401.05",788,174,614
1960,25025140106,"Census Tract 1401.06",509,112,397
1960,25025140107,"Census Tract 1401.07",581,128,453
1960,25025140201,"Census Tract 1402.01",616,121,495
1960,25025140202,"Census Tract 1402.02",1626,320,1306
1960,25025140300,"Census Tract 1403",1743,515,1228
1960,25025140400,"Census Tract 1404",1809,356,1453
1960,25025980300,"Census Tract 9803",,,
1960,25025980700,"Census Tract 9807",,,
1960,25025980900,"Census Tract 9809",,,
1960,25025981000,"Census Tract 9810",,,
1960,25025981100,"Census Tract 9811",25,9,16
1960,25025981201,"Census Tract 9812.01",,,
1960,25025981202,"Census Tract 9812.02",,,
1960,25025981300,"Census Tract 9813",,,
1960,25025981501,"Census Tract 9815.01",,,
1960,25025981502,"Census Tract 9815.02",,,
1960,25025981600,"Census Tract 9816",,,
1960,25025981700,"Census Tract 9817",,,
1960,25025981800,"Census Tract 9818",,,
1960,25025981900,"Census Tract 9819",,,
1970,25025000101,"Census Tract 1.01",586,163,423
1970,25025000102,"Census Tract 1.02",689,191,498
1970,25025000201,"Census Tract 2.01",1452,402,1050
1970,25025000202,"Census Tract 2.02",1506,417,1089
1970,25025000301,"Census Tract 3.01",1070,165,905
1970,25025000302,"Census Tract 3.02",1058,163,895
1970,25025000401,"Census Tract 4.01",1936,584,1352
1970,25025000402,"Census Tract 4.02",1199,362,837
1970,25025000502,"Census Tract 5.02",1727,754,973
1970,25025000503,"Census Tract 5.03",743,324,419
1970,25025000505,"Census Tract 5.05",650,284,366
1970,25025000506,"Census Tract 5.06",869,379,490
1970,25025000601,"Census Tract 6.01",1483,579,904
1970,25025000603,"Census Tract 6.03",755,294,461
1970,25025000604,"Census Tract 6.04",1231,481,750
1970,25025000701,"Census Tract 7.01",1942,835,1107
1970,25025000703,"Census Tract 7.03",1054,453,601
1970,25025000704,"Census Tract 7.04",2129,916,1213
1970,25025000804,"Census Tract 8.04",708,296,412
1970,25025000805,"Census Tract 8.05",876,366,510
1970,25025000806,"Census Tract 8.06",412,172,240
1970,25025000807,"Census Tract 8.07",376,157,219
1970,25025010103,"Census Tract 101.03",855,511,344
1970,25025010104,"Census Tract 101.04",1280,764,516
1970,25025010204,"Census Tract 102.04",1617,1008,609
1970,25025010205,"Census Tract 102.05",1258,784,474
1970,25025010206,"Census Tract 102.06",931,580,351
1970,25025010300,"Census Tract 103",822,517,305
1970,25025010403,"Census Tract 104.03",1028,772,256
1970,25025010404,"Census Tract 104.04",1347,1012,335
1970,25025010405,"Census Tract 104.05",1754,1318,436
1970,25025010408,"Census Tract 104.08",724,451,273
1970,25025010500,"Census Tract 105",1145,860,285
1970,25025010600,"Census Tract 106",1131,590,541
1970,25025010701,"Census Tract 107.01",1911,1134,777
1970,25025010702,"Census Tract 107.02",1836,1089,747
1970,25025010801,"Census Tract 108.01",1544,843,701
1970,25025010802,"Census Tract 108.02",1608,878,730
1970,25025020101,"Census Tract 201.01",3186,1714,1472
1970,25025020200,"Census Tract 202",2311,1604,707
1970,25025020301,"Census Tract 203.01",992,564,428
1970,25025020302,"Census Tract 203.02",615,345,270
1970,25025020304,"Census Tract 203.04",57,32,25
1970,25025020305,"Census Tract 203.05",752,422,330
1970,25025030100,"Census Tract 301",1194,771,423
1970,25025030200,"Census Tract 302",712,528,184
1970,25025030301,"Census Tract 303.01",187,105,82
1970,25025030302,"Census Tract 303.02",202,116,86
1970,25025030400,"Census Tract 304",1443,948,495
1970,25025030500,"Census Tract 305",737,462,275
1970,25025040100,"Census Tract 401",564,198,366
1970,25025040200,"Census Tract 402",705,437,268
1970,25025040300,"Census Tract 403",1599,796,803
1970,25025040401,"Census Tract 404.01",632,304,328
1970,25025040600,"Census Tract 406",795,259,536
1970,25025040801,"Census Tract 408.01",552,370,182
1970,25025050101,"Census Tract 501.01",1226,527,699
1970,25025050200,"Census Tract 502",1498,682,816
1970,25025050300,"Census Tract 503",617,474,143
1970,25025050400,"Census Tract 504",687,406,281
1970,25025050500,"Census Tract 505",582,324,258
1970,25025050600,"Census Tract 506",613,305,308
1970,25025050700,"Census Tract 507",1461,886,575
1970,25025050901,"Census Tract 509.01",1382,582,800
1970,25025051000,"Census Tract 510",1611,502,1109
1970,25025051101,"Census Tract 511.01",2144,746,1398
1970,25025051200,"Census Tract 512",1011,500,511
1970,25025060101,"Census Tract 601.01",1546,716,830
1970,25025060200,"Census Tract 602",912,341,571
1970,25025060301,"Census Tract 603.01",1372,570,802
1970,25025060400,"Census Tract 604",2007,928,1079
1970,25025060501,"Census Tract 605.01",1574,924,650
1970,25025060601,"Census Tract 606.01",301,228,73
1970,25025060602,"Census Tract 606.02",20,15,5
1970,25025060603,"Census Tract 606.03",13,10,3
1970,25025060604,"Census Tract 606.04",43,33,10
1970,25025060700,"Census Tract 607",1042,841,201
1970,25025060800,"Census Tract 608",1378,841,537
1970,25025061000,"Census Tract 610",1319,935,384
1970,25025061101,"Census Tract 611.01",853,616,237
1970,25025061201,"Census Tract 612.01",840,492,348
1970,25025061202,"Census Tract 612.02",,,
1970,25025061203,"Census Tract 612.03",169,113,56
1970,25025061204,"Census Tract 612.04",32,22,10
1970,25025070102,"Census Tract 701.02",320,260,60
1970,25025070103,"Census Tract 701.03",22,18,4
1970,25025070104,"Census Tract 701.04",122,99,23
1970,25025070201,"Census Tract 702.01",203,144,59
1970,25025070202,"Census Tract 702.02",659,502,157
1970,25025070301,"Census Tract 703.01",926,643,283
1970,25025070302,"Census Tract 703.02",561,390,171
1970,25025070402,"Census Tract 704.02",607,443,164
1970,25025070501,"Census Tract 705.01",656,496,160
1970,25025070502,"Census Tract 705.02",1185,897,288
1970,25025070600,"Census Tract 706",776,415,361
1970,25025070700,"Census Tract 707",272,173,99
1970,25025070801,"Census Tract 708.01",294,237,57
1970,25025070802,"Census Tract 708.02",821,661,160
1970,25025070901,"Census Tract 709.01",347,242,105
1970,25025070902,"Census Tract 709.02",586,409,177
1970,25025071101,"Census Tract 711.01",1013,747,266
1970,25025071201,"Census Tract 712.01",732,641,91
1970,25025080100,"Census Tract 801",789,503,286
1970,25025080300,"Census Tract 803",968,750,218
1970,25025080401,"Census Tract 804.01",699,609,90
1970,25025080500,"Census Tract 805",612,527,85
1970,25025080601,"Census Tract 806.01",571,456,115
1970,25025080801,"Census Tract 808.01",1526,1177,349
1970,25025080900,"Census Tract 809",1324,648,676
1970,25025081001,"Census Tract 810.01",1918,940,978
1970,25025081101,"Census Tract 811.01",318,141,177
1970,25025081102,"Census Tract 811.02",677,318,359
1970,25025081200,"Census Tract 812",1371,1104,267
1970,25025081301,"Census Tract 813.01",546,343,203
1970,25025081302,"Census Tract 813.02",764,479,285
1970,25025081400,"Census Tract 814",1112,660,452
1970,25025081500,"Census Tract 815",802,467,335
1970,25025081700,"Census Tract 817",1468,952,516
1970,25025081800,"Census Tract 818",1218,796,422
1970,25025081900,"Census Tract 819",1415,797,618
1970,25025082000,"Census Tract 820",1048,619,429
1970,25025082100,"Census Tract 821",2016,1304,712
1970,25025090100,"Census Tract 901",1932,1062,870
1970,25025090200,"Census Tract 902",785,485,300
1970,25025090300,"Census Tract 903",990,662,328
1970,25025090400,"Census Tract 904",1306,763,543
1970,25025090600,"Census Tract 906",816,546,270
1970,25025090700,"Census Tract 907",1672,778,894
1970,25025090901,"Census Tract 909.01",1207,1067,140
1970,25025091001,"Census Tract 910.01",1165,447,718
1970,25025091100,"Census Tract 911",1852,702,1150
1970,25025091200,"Census Tract 912",1301,568,733
1970,25025091300,"Census Tract 913",836,519,317
1970,25025091400,"Census Tract 914",962,604,358
1970,25025091500,"Census Tract 915",1658,822,836
1970,25025091600,"Census Tract 916",1095,462,633
1970,25025091700,"Census Tract 917",1092,471,621
1970,25025091800,"Census Tract 918",1293,485,808
1970,25025091900,"Census Tract 919",1399,712,687
1970,25025092000,"Census Tract 920",1805,675,1130
1970,25025092101,"Census Tract 921.01",2256,932,1324
1970,25025092200,"Census Tract 922",1238,393,845
1970,25025092300,"Census Tract 923",1110,541,569
1970,25025092400,"Census Tract 924",2195,1296,899
1970,25025100100,"Census Tract 1001",2276,1456,820
1970,25025100200,"Census Tract 1002",1266,690,576
1970,25025100300,"Census Tract 1003",1384,557,827
1970,25025100400,"Census Tract 1004",1675,435,1240
1970,25025100500,"Census Tract 1005",2244,983,1261
1970,25025100601,"Census Tract 1006.01",2046,700,1346
1970,25025100603,"Census Tract 1006.03",785,269,516
1970,25025100700,"Census Tract 1007",1654,387,1267
1970,25025100800,"Census Tract 1008",2040,659,1381
1970,25025100900,"Census Tract 1009",1403,395,1008
1970,25025101001,"Census Tract 1010.01",2015,505,1510
1970,25025101002,"Census Tract 1010.02",1827,459,1368
1970,25025101101,"Census Tract 1011.01",1271,484,787
1970,25025101102,"Census Tract 1011.02",1730,655,1075
1970,25025110104,"Census Tract 1101.04",749,296,453
1970,25025110105,"Census Tract 1101.05",851,344,507
1970,25025110106,"Census Tract 1101.06",494,200,294
1970,25025110201,"Census Tract 1102.01",818,277,541
1970,25025110301,"Census Tract 1103.01",882,171,711
1970,25025110401,"Census Tract 1104.01",1129,294,835
1970,25025110403,"Census Tract 1104.03",1324,345,979
1970,25025110501,"Census Tract 1105.01",1330,391,939
1970,25025110502,"Census Tract 1105.02",1461,429,1032
1970,25025110601,"Census Tract 1106.01",878,169,709
1970,25025110607,"Census Tract 1106.07",1994,384,1610
1970,25025120103,"Census Tract 1201.03",576,166,410
1970,25025120104,"Census Tract 1201.04",862,249,613
1970,25025120105,"Census Tract 1201.05",929,268,661
1970,25025120201,"Census Tract 1202.01",1464,547,917
1970,25025120301,"Census Tract 1203.01",1643,873,770
1970,25025120400,"Census Tract 1204",2400,1011,1389
1970,25025120500,"Census Tract 1205",795,417,378
1970,25025120600,"Census Tract 1206",1120,516,604
1970,25025120700,"Census Tract 1207",943,268,675
1970,25025130101,"Census Tract 1301.01",1882,218,1664
1970,25025130200,"Census Tract 1302",1889,259,1630
1970,25025130300,"Census Tract 1303",1711,253,1458
1970,25025130402,"Census Tract 1304.02",1783,325,1458
1970,25025130404,"Census Tract 1304.04",911,167,744
1970,25025130406,"Census Tract 1304.06",1551,285,1266
1970,25025140102,"Census Tract 1401.02",1503,351,1152
1970,25025140105,"Census Tract 1401.05",1255,293,962
1970,25025140106,"Census Tract 1401.06",811,189,622
1970,25025140107,"Census Tract 1401.07",924,216,708
1970,25025140201,"Census Tract 1402.01",765,142,623
1970,25025140202,"Census Tract 1402.02",2016,376,1640
1970,25025140300,"Census Tract 1403",1959,534,1425
1970,25025140400,"Census Tract 1404",2382,444,1938
1970,25025980300,"Census Tract 9803",,,
1970,25025980700,"Census Tract 9807",,,
1970,25025980900,"Census Tract 9809",,,
1970,25025981000,"Census Tract 9810",,,
1970,25025981100,"Census Tract 9811",26,11,15
1970,25025981201,"Census Tract 9812.01",,,
1970,25025981202,"Census Tract 9812.02",,,
1970,25025981300,"Census Tract 9813",,,
1970,25025981501,"Census Tract 9815.01",,,
1970,25025981502,"Census Tract 9815.02",,,
1970,25025981600,"Census Tract 9816",,,
1970,25025981700,"Census Tract 9817",,,
1970,25025981800,"Census Tract 9818",,,
1970,25025981900,"Census Tract 9819",,,
1980,25025000101,"Census Tract 1.01",689,161,528
1980,25025000102,"Census Tract 1.02",810,189,621
1980,25025000201,"Census Tract 2.01",1489,401,1088
1980,25025000202,"Census Tract 2.02",1465,465,1000
1980,25025000301,"Census Tract 3.01",1201,163,1038
1980,25025000302,"Census Tract 3.02",1190,161,1029
1980,25025000401,"Census Tract 4.01",2544,930,1614
1980,25025000402,"Census Tract 4.02",1575,576,999
1980,25025000502,"Census Tract 5.02",2261,981,1280
1980,25025000503,"Census Tract 5.03",971,421,550
1980,25025000505,"Census Tract 5.05",853,370,483
1980,25025000506,"Census Tract 5.06",1138,494,644
1980,25025000601,"Census Tract 6.01",1302,403,899
1980,25025000603,"Census Tract 6.03",743,389,354
1980,25025000604,"Census Tract 6.04",1211,634,577
1980,25025000701,"Census Tract 7.01",2189,957,1232
1980,25025000703,"Census Tract 7.03",1097,510,587
1980,25025000704,"Census Tract 7.04",2219,1030,1189
1980,25025000804,"Census Tract 8.04",949,342,607
1980,25025000805,"Census Tract 8.05",1173,423,750
1980,25025000806,"Census Tract 8.06",553,199,354
1980,25025000807,"Census Tract 8.07",504,182,322
1980,25025010103,"Census Tract 101.03",384,261,123
1980,25025010104,"Census Tract 101.04",1628,944,684
1980,25025010204,"Census Tract 102.04",1594,1029,565
1980,25025010205,"Census Tract 102.05",1240,800,440
1980,25025010206,"Census Tract 102.06",917,592,325
1980,25025010300,"Census Tract 103",460,350,110
1980,25025010403,"Census Tract 104.03",1019,710,309
1980,25025010404,"Census Tract 104.04",1334,930,404
