GEOID,YEAR,NAME,vol_sml_sbus,vol_sml_bbus
25025010300,2012,Census Tract 103,5000,54000
25025010405,2012,Census Tract 104.05,29000,134000
25025080401,2012,Census Tract 804.01,574000,286000
25025080801,2012,Census Tract 808.01,70000,536000
25025090300,2012,Census Tract 903,5000,11000
25025040801,2012,Census Tract 408.01,227000,3196000
25025050300,2012,Census Tract 503,1028000,68000
25025060700,2012,Census Tract 607,0,0
25025061000,2012,Census Tract 610,15000,15000
25025061101,2012,Census Tract 611.01,0,1000
25025070900,2012,Census Tract 709,175000,346000
25025080500,2012,Census Tract 805,16000,21000
25025080601,2012,Census Tract 806.01,2017000,232000
25025081300,2012,Census Tract 813,6000,562000
25025082100,2012,Census Tract 821,30000,24000
25025090200,2012,Census Tract 902,56000,41000
25025000602,2012,Census Tract 6.02,654000,1837000
25025000803,2012,Census Tract 8.03,601000,59000
25025010204,2012,Census Tract 102.04,1537000,441000
25025070402,2012,Census Tract 704.02,114000,340000
25025080300,2012,Census Tract 803,1.00E+05,335000
25025081001,2012,Census Tract 810.01,474000,283000
25025081200,2012,Census Tract 812,19000,398000
25025081500,2012,Census Tract 815,258000,49000
25025090901,2012,Census Tract 909.01,52000,13000
25025091300,2012,Census Tract 913,71000,450000
25025091600,2012,Census Tract 916,1558000,316000
25025091900,2012,Census Tract 919,32000,120000
25025092400,2012,Census Tract 924,23000,171000
25025100100,2012,Census Tract 1001,931000,354000
25025000100,2012,Census Tract 1,1726000,8858000
25025010403,2012,Census Tract 104.03,222000,358000
25025050101,2012,Census Tract 501.01,110000,56000
25025050400,2012,Census Tract 504,281000,197000
25025050600,2012,Census Tract 506,276000,289000
25025050901,2012,Census Tract 509.01,568000,384000
25025070200,2012,Census Tract 702,513000,3592000
25025071201,2012,Census Tract 712.01,2026000,4637000
25025090100,2012,Census Tract 901,109000,22000
25025090400,2012,Census Tract 904,25000,56000
25025091400,2012,Census Tract 914,67000,148000
25025091800,2012,Census Tract 918,18000,37000
25025092200,2012,Census Tract 922,72000,1108000
25025092300,2012,Census Tract 923,25000,14000
25025101102,2012,Census Tract 1011.02,284000,311000
25025110401,2012,Census Tract 1104.01,34000,87000
25025130406,2012,Census Tract 1304.06,198000,128000
25025000202,2012,Census Tract 2.02,415000,199000
25025000401,2012,Census Tract 4.01,402000,202000
25025000504,2012,Census Tract 5.04,933000,119000
25025000802,2012,Census Tract 8.02,2547000,6234000
25025010404,2012,Census Tract 104.04,213000,123000
25025050200,2012,Census Tract 502,60000,187000
25025050500,2012,Census Tract 505,6000,37000
25025050700,2012,Census Tract 507,862000,47000
25025051200,2012,Census Tract 512,61000,2276000
25025071101,2012,Census Tract 711.01,1900000,375000
25025080100,2012,Census Tract 801,1357000,10100000
25025081700,2012,Census Tract 817,197000,62000
25025081800,2012,Census Tract 818,1201000,93000
25025090700,2012,Census Tract 907,466000,2401000
25025091200,2012,Census Tract 912,129000,34000
25025091700,2012,Census Tract 917,25000,227000
25025092101,2012,Census Tract 921.01,2737000,2166000
25025100200,2012,Census Tract 1002,589000,40000
25025100300,2012,Census Tract 1003,30000,99000
25025100400,2012,Census Tract 1004,126000,156000
25025100500,2012,Census Tract 1005,147000,166000
25025101002,2012,Census Tract 1010.02,159000,2322000
25025120201,2012,Census Tract 1202.01,3404000,260000
25025140106,2012,Census Tract 1401.06,4000,6000
25025000701,2012,Census Tract 7.01,385000,65000
25025000703,2012,Census Tract 7.03,457000,521000
25025000704,2012,Census Tract 7.04,150000,448000
25025051000,2012,Census Tract 510,773000,731000
25025082000,2012,Census Tract 820,15000,229000
25025090600,2012,Census Tract 906,235000,41000
25025091500,2012,Census Tract 915,429000,621000
25025092000,2012,Census Tract 920,126000,457000
25025120500,2012,Census Tract 1205,650000,151000
25025000601,2012,Census Tract 6.01,1888000,1223000
25025051101,2012,Census Tract 511.01,177000,350000
25025070700,2012,Census Tract 707,1488000,2871000
25025081400,2012,Census Tract 814,920000,687000
25025081900,2012,Census Tract 819,4000,33000
25025091100,2012,Census Tract 911,688000,921000
25025100601,2012,Census Tract 1006.01,298000,1552000
25025100900,2012,Census Tract 1009,181000,233000
25025110103,2012,Census Tract 1101.03,123000,466000
25025110403,2012,Census Tract 1104.03,122000,150000
25025110502,2012,Census Tract 1105.02,937000,1502000
25025120301,2012,Census Tract 1203.01,170000,1179000
25025120700,2012,Census Tract 1207,407000,41000
25025140201,2012,Census Tract 1402.01,61000,3808000
25025140300,2012,Census Tract 1403,1222000,1061000
25025000201,2012,Census Tract 2.01,197000,175000
25025000302,2012,Census Tract 3.02,154000,220000
25025000502,2012,Census Tract 5.02,242000,479000
25025020200,2012,Census Tract 202,1227000,352000
25025070800,2012,Census Tract 708,1216000,663000
25025080900,2012,Census Tract 809,1129000,192000
25025100800,2012,Census Tract 1008,753000,1236000
25025101001,2012,Census Tract 1010.01,746000,1003000
25025101101,2012,Census Tract 1011.01,28000,34000
25025110201,2012,Census Tract 1102.01,360000,205000
25025140400,2012,Census Tract 1404,1184000,181000
25025010203,2012,Census Tract 102.03,75000,672000
25025010500,2012,Census Tract 105,83000,1718000
25025040200,2012,Census Tract 402,24000,335000
25025060101,2012,Census Tract 601.01,88000,574000
25025060200,2012,Census Tract 602,42000,27000
25025091001,2012,Census Tract 910.01,1994000,2875000
25025100603,2012,Census Tract 1006.03,50000,599000
25025100700,2012,Census Tract 1007,1542000,2320000
25025120104,2012,Census Tract 1201.04,36000,28000
25025130100,2012,Census Tract 1301,610000,711000
25025130404,2012,Census Tract 1304.04,1090000,409000
25025140102,2012,Census Tract 1401.02,373000,3168000
25025140105,2012,Census Tract 1401.05,379000,888000
25025140107,2012,Census Tract 1401.07,184000,180000
25025140202,2012,Census Tract 1402.02,1575000,225000
25025000301,2012,Census Tract 3.01,563000,834000
25025000503,2012,Census Tract 5.03,17000,129000
25025010104,2012,Census Tract 101.04,1555000,1566000
25025010408,2012,Census Tract 104.08,20000,3000
25025030100,2012,Census Tract 301,127000,32000
25025040401,2012,Census Tract 404.01,742000,704000
25025070500,2012,Census Tract 705,1068000,2762000
25025081100,2012,Census Tract 811,370000,2984000
25025060800,2012,Census Tract 608,685000,378000
25025110301,2012,Census Tract 1103.01,413000,117000
25025110607,2012,Census Tract 1106.07,672000,748000
25025120600,2012,Census Tract 1206,705000,590000
25025000402,2012,Census Tract 4.02,1091000,162000
25025010103,2012,Census Tract 101.03,50000,41000
25025010600,2012,Census Tract 106,1185000,3706000
25025010701,2012,Census Tract 107.01,1521000,7398000
25025010702,2012,Census Tract 107.02,5466000,12916000
25025010801,2012,Census Tract 108.01,1463000,636000
25025010802,2012,Census Tract 108.02,1316000,1267000
25025020101,2012,Census Tract 201.01,2521000,1195000
25025020301,2012,Census Tract 203.01,150000,1480000
25025020302,2012,Census Tract 203.02,643000,590000
25025020303,2012,Census Tract 203.03,1921000,7059000
25025030200,2012,Census Tract 302,847000,1720000
25025030300,2012,Census Tract 303,18306000,27172000
25025030400,2012,Census Tract 304,987000,1454000
25025030500,2012,Census Tract 305,481000,1961000
25025040100,2012,Census Tract 401,204000,450000
25025040300,2012,Census Tract 403,205000,167000
25025040600,2012,Census Tract 406,2116000,2211000
25025060301,2012,Census Tract 603.01,353000,761000
25025060400,2012,Census Tract 604,105000,477000
25025060501,2012,Census Tract 605.01,1010000,923000
25025060600,2012,Census Tract 606,1446000,13989000
25025061200,2012,Census Tract 612,3413000,13288000
25025070101,2012,Census Tract 701.01,17208000,53164000
25025070300,2012,Census Tract 703,1573000,6693000
25025070600,2012,Census Tract 706,507000,726000
25025110501,2012,Census Tract 1105.01,86000,154000
25025110601,2012,Census Tract 1106.01,729000,152000
25025120103,2012,Census Tract 1201.03,412000,3075000
25025120105,2012,Census Tract 1201.05,1877000,637000
25025120400,2012,Census Tract 1204,1716000,234000
25025130200,2012,Census Tract 1302,435000,1782000
25025130300,2012,Census Tract 1303,251000,263000
25025130402,2012,Census Tract 1304.02,988000,13117000
25025010300,2013,Census Tract 103,21000,327000
25025010405,2013,Census Tract 104.05,1052000,1523000
25025080401,2013,Census Tract 804.01,832000,1732000
25025080801,2013,Census Tract 808.01,6000,3000
25025090300,2013,Census Tract 903,7000,11000
25025040801,2013,Census Tract 408.01,576000,2747000
25025050300,2013,Census Tract 503,945000,90000
25025060700,2013,Census Tract 607,5000,8000
25025061000,2013,Census Tract 610,424000,92000
25025061101,2013,Census Tract 611.01,1000,42000
25025070900,2013,Census Tract 709,994000,413000
25025080500,2013,Census Tract 805,2000,2000
25025080601,2013,Census Tract 806.01,820000,147000
25025081300,2013,Census Tract 813,79000,44000
25025082100,2013,Census Tract 821,444000,10000
25025090200,2013,Census Tract 902,145000,608000
25025000602,2013,Census Tract 6.02,213000,1537000
25025000803,2013,Census Tract 8.03,162000,72000
25025010204,2013,Census Tract 102.04,561000,203000
25025070402,2013,Census Tract 704.02,1317000,609000
25025080300,2013,Census Tract 803,379000,115000
25025081001,2013,Census Tract 810.01,2895000,1113000
25025081200,2013,Census Tract 812,784000,71000
25025081500,2013,Census Tract 815,56000,28000
25025090901,2013,Census Tract 909.01,10000,69000
25025091300,2013,Census Tract 913,5000,1466000
25025091600,2013,Census Tract 916,781000,197000
25025091900,2013,Census Tract 919,43000,126000
25025092400,2013,Census Tract 924,145000,502000
25025100100,2013,Census Tract 1001,1125000,344000
25025000100,2013,Census Tract 1,1743000,11556000
25025010403,2013,Census Tract 104.03,72000,536000
25025050101,2013,Census Tract 501.01,289000,62000
25025050400,2013,Census Tract 504,592000,97000
25025050600,2013,Census Tract 506,695000,301000
25025050901,2013,Census Tract 509.01,448000,629000
25025070200,2013,Census Tract 702,1452000,2164000
25025071201,2013,Census Tract 712.01,1769000,6395000
25025090100,2013,Census Tract 901,127000,164000
25025090400,2013,Census Tract 904,1327000,19000
25025091400,2013,Census Tract 914,39000,14000
25025091800,2013,Census Tract 918,182000,532000
25025092200,2013,Census Tract 922,19000,106000
25025092300,2013,Census Tract 923,1496000,42000
25025101102,2013,Census Tract 1011.02,781000,2012000
25025110401,2013,Census Tract 1104.01,940000,631000
25025130406,2013,Census Tract 1304.06,88000,780000
25025000202,2013,Census Tract 2.02,677000,103000
25025000401,2013,Census Tract 4.01,1067000,187000
25025000504,2013,Census Tract 5.04,104000,103000
25025000802,2013,Census Tract 8.02,4637000,7363000
25025010404,2013,Census Tract 104.04,616000,332000
25025050200,2013,Census Tract 502,163000,154000
25025050500,2013,Census Tract 505,19000,29000
25025050700,2013,Census Tract 507,307000,27000
25025051200,2013,Census Tract 512,279000,351000
25025071101,2013,Census Tract 711.01,1515000,96000
25025080100,2013,Census Tract 801,2187000,11027000
25025081700,2013,Census Tract 817,165000,487000
25025081800,2013,Census Tract 818,793000,491000
25025090700,2013,Census Tract 907,617000,1381000
25025091200,2013,Census Tract 912,95000,224000
25025091700,2013,Census Tract 917,54000,1337000
25025092101,2013,Census Tract 921.01,330000,3532000
25025100200,2013,Census Tract 1002,547000,490000
25025100300,2013,Census Tract 1003,36000,26000
25025100400,2013,Census Tract 1004,924000,106000
25025100500,2013,Census Tract 1005,887000,108000
25025101002,2013,Census Tract 1010.02,416000,1146000
25025120201,2013,Census Tract 1202.01,249000,717000
25025140106,2013,Census Tract 1401.06,11000,453000
25025000701,2013,Census Tract 7.01,330000,247000
25025000703,2013,Census Tract 7.03,390000,533000
25025000704,2013,Census Tract 7.04,227000,215000
25025051000,2013,Census Tract 510,41000,1154000
25025082000,2013,Census Tract 820,89000,72000
25025090600,2013,Census Tract 906,164000,75000
25025091500,2013,Census Tract 915,122000,974000
25025092000,2013,Census Tract 920,266000,81000
25025120500,2013,Census Tract 1205,33000,275000
25025000601,2013,Census Tract 6.01,204000,457000
25025051101,2013,Census Tract 511.01,904000,453000
25025070700,2013,Census Tract 707,1623000,4224000
25025081400,2013,Census Tract 814,1316000,143000
25025081900,2013,Census Tract 819,15000,480000
25025091100,2013,Census Tract 911,226000,182000
25025100601,2013,Census Tract 1006.01,196000,198000
25025100900,2013,Census Tract 1009,789000,175000
25025110103,2013,Census Tract 1101.03,982000,341000
25025110403,2013,Census Tract 1104.03,106000,117000
25025110502,2013,Census Tract 1105.02,1426000,103000
25025120301,2013,Census Tract 1203.01,1241000,508000
25025120700,2013,Census Tract 1207,1194000,28000
25025140201,2013,Census Tract 1402.01,54000,1767000
25025140300,2013,Census Tract 1403,976000,1696000
25025000201,2013,Census Tract 2.01,316000,141000
25025000302,2013,Census Tract 3.02,977000,128000
25025000502,2013,Census Tract 5.02,1077000,256000
25025020200,2013,Census Tract 202,1219000,1610000
25025070800,2013,Census Tract 708,266000,881000
25025080900,2013,Census Tract 809,126000,132000
25025100800,2013,Census Tract 1008,469000,1740000
25025101001,2013,Census Tract 1010.01,1792000,2780000
25025101101,2013,Census Tract 1011.01,42000,17000
25025110201,2013,Census Tract 1102.01,182000,23000
25025140400,2013,Census Tract 1404,1445000,709000
25025010203,2013,Census Tract 102.03,1608000,1494000
25025010500,2013,Census Tract 105,375000,1303000
25025040200,2013,Census Tract 402,212000,28000
25025060101,2013,Census Tract 601.01,739000,126000
25025060200,2013,Census Tract 602,655000,53000
25025091001,2013,Census Tract 910.01,294000,1943000
25025100603,2013,Census Tract 1006.03,317000,2461000
25025100700,2013,Census Tract 1007,938000,304000
25025120104,2013,Census Tract 1201.04,25000,247000
25025130100,2013,Census Tract 1301,1286000,1243000
25025130404,2013,Census Tract 1304.04,8.00E+05,427000
25025140102,2013,Census Tract 1401.02,2054000,3367000
25025140105,2013,Census Tract 1401.05,1050000,239000
25025140107,2013,Census Tract 1401.07,371000,356000
25025140202,2013,Census Tract 1402.02,65000,449000
25025000301,2013,Census Tract 3.01,2354000,298000
25025000503,2013,Census Tract 5.03,49000,138000
25025010104,2013,Census Tract 101.04,1074000,2579000
25025010408,2013,Census Tract 104.08,363000,12000
25025030100,2013,Census Tract 301,182000,158000
25025040401,2013,Census Tract 404.01,364000,1073000
25025070500,2013,Census Tract 705,3682000,3451000
25025081100,2013,Census Tract 811,219000,1330000
25025060800,2013,Census Tract 608,2506000,796000
25025110301,2013,Census Tract 1103.01,42000,22000
25025110607,2013,Census Tract 1106.07,1135000,1600000
25025120600,2013,Census Tract 1206,40000,240000
25025000402,2013,Census Tract 4.02,603000,1402000
25025010103,2013,Census Tract 101.03,36000,112000
25025010600,2013,Census Tract 106,1090000,4626000
25025010701,2013,Census Tract 107.01,1753000,4740000
25025010702,2013,Census Tract 107.02,5885000,16052000
25025010801,2013,Census Tract 108.01,215000,342000
25025010802,2013,Census Tract 108.02,312000,1170000
25025020101,2013,Census Tract 201.01,2119000,1949000
25025020301,2013,Census Tract 203.01,213000,2397000
25025020302,2013,Census Tract 203.02,181000,1481000
25025020303,2013,Census Tract 203.03,796000,5381000
25025030200,2013,Census Tract 302,136000,1560000
25025030300,2013,Census Tract 303,10448000,31845000
25025030400,2013,Census Tract 304,1515000,326000
25025030500,2013,Census Tract 305,389000,3213000
25025040100,2013,Census Tract 401,189000,1664000
25025040300,2013,Census Tract 403,380000,179000
25025040600,2013,Census Tract 406,2130000,3029000
25025060301,2013,Census Tract 603.01,1001000,603000
25025060400,2013,Census Tract 604,54000,245000
25025060501,2013,Census Tract 605.01,585000,4575000
25025060600,2013,Census Tract 606,3302000,14563000
25025061200,2013,Census Tract 612,4219000,16088000
25025070101,2013,Census Tract 701.01,12286000,56146000
25025070300,2013,Census Tract 703,2819000,4923000
25025070600,2013,Census Tract 706,1398000,643000
25025110501,2013,Census Tract 1105.01,88000,158000
25025110601,2013,Census Tract 1106.01,969000,546000
25025120103,2013,Census Tract 1201.03,111000,1110000
25025120105,2013,Census Tract 1201.05,101000,580000
25025120400,2013,Census Tract 1204,2863000,2433000
25025130200,2013,Census Tract 1302,674000,657000
25025130300,2013,Census Tract 1303,163000,223000
25025130402,2013,Census Tract 1304.02,913000,2548000
25025010300,2014,Census Tract 103,1187000,349000
25025010405,2014,Census Tract 104.05,154000,1118000
25025080401,2014,Census Tract 804.01,497000,47000
25025080801,2014,Census Tract 808.01,8000,0
25025090300,2014,Census Tract 903,349000,20000
25025040801,2014,Census Tract 408.01,479000,5756000
25025050300,2014,Census Tract 503,544000,654000
25025060700,2014,Census Tract 607,0,15000
25025061000,2014,Census Tract 610,47000,70000
25025061101,2014,Census Tract 611.01,12000,0
25025070900,2014,Census Tract 709,281000,711000
25025080500,2014,Census Tract 805,312000,29000
25025080601,2014,Census Tract 806.01,892000,250000
25025081300,2014,Census Tract 813,192000,98000
25025082100,2014,Census Tract 821,933000,62000
25025090200,2014,Census Tract 902,56000,5000
25025000602,2014,Census Tract 6.02,162000,1179000
25025000803,2014,Census Tract 8.03,129000,159000
25025010204,2014,Census Tract 102.04,3647000,146000
25025070402,2014,Census Tract 704.02,2000,552000
25025080300,2014,Census Tract 803,1021000,996000
25025081001,2014,Census Tract 810.01,1789000,617000
25025081200,2014,Census Tract 812,106000,74000
25025081500,2014,Census Tract 815,24000,34000
25025090901,2014,Census Tract 909.01,72000,56000
25025091300,2014,Census Tract 913,29000,395000
25025091600,2014,Census Tract 916,1824000,818000
25025091900,2014,Census Tract 919,156000,192000
25025092400,2014,Census Tract 924,57000,173000
25025100100,2014,Census Tract 1001,653000,318000
25025000100,2014,Census Tract 1,2299000,6140000
25025010403,2014,Census Tract 104.03,192000,319000
25025050101,2014,Census Tract 501.01,276000,34000
25025050400,2014,Census Tract 504,86000,72000
25025050600,2014,Census Tract 506,298000,56000
25025050901,2014,Census Tract 509.01,1077000,587000
25025070200,2014,Census Tract 702,1701000,3551000
25025071201,2014,Census Tract 712.01,735000,7268000
25025090100,2014,Census Tract 901,115000,486000
25025090400,2014,Census Tract 904,1067000,316000
25025091400,2014,Census Tract 914,8000,49000
25025091800,2014,Census Tract 918,551000,82000
25025092200,2014,Census Tract 922,135000,51000
25025092300,2014,Census Tract 923,387000,294000
25025101102,2014,Census Tract 1011.02,652000,51000
25025110401,2014,Census Tract 1104.01,3880000,280000
25025130406,2014,Census Tract 1304.06,178000,207000
25025000202,2014,Census Tract 2.02,241000,434000
25025000401,2014,Census Tract 4.01,1340000,2.00E+05
25025000504,2014,Census Tract 5.04,5.00E+05,69000
25025000802,2014,Census Tract 8.02,4377000,5082000
25025010404,2014,Census Tract 104.04,342000,207000
25025050200,2014,Census Tract 502,826000,298000
25025050500,2014,Census Tract 505,868000,7000
25025050700,2014,Census Tract 507,280000,112000
25025051200,2014,Census Tract 512,527000,1504000
25025071101,2014,Census Tract 711.01,170000,406000
25025080100,2014,Census Tract 801,1975000,7061000
25025081700,2014,Census Tract 817,23000,1185000
25025081800,2014,Census Tract 818,476000,434000
25025090700,2014,Census Tract 907,1404000,1120000
25025091200,2014,Census Tract 912,108000,76000
25025091700,2014,Census Tract 917,22000,6000
25025092101,2014,Census Tract 921.01,3120000,3050000
25025100200,2014,Census Tract 1002,22000,45000
25025100300,2014,Census Tract 1003,30000,51000
25025100400,2014,Census Tract 1004,545000,411000
25025100500,2014,Census Tract 1005,217000,212000
25025101002,2014,Census Tract 1010.02,1185000,1068000
25025120201,2014,Census Tract 1202.01,1296000,1020000
25025140106,2014,Census Tract 1401.06,34000,20000
25025000701,2014,Census Tract 7.01,464000,596000
25025000703,2014,Census Tract 7.03,520000,461000
25025000704,2014,Census Tract 7.04,428000,604000
25025051000,2014,Census Tract 510,832000,615000
25025082000,2014,Census Tract 820,19000,168000
25025090600,2014,Census Tract 906,572000,33000
25025091500,2014,Census Tract 915,108000,592000
25025092000,2014,Census Tract 920,129000,48000
25025120500,2014,Census Tract 1205,779000,328000
25025000601,2014,Census Tract 6.01,757000,2269000
25025051101,2014,Census Tract 511.01,2019000,1878000
25025070700,2014,Census Tract 707,1502000,1595000
25025081400,2014,Census Tract 814,189000,66000
25025081900,2014,Census Tract 819,258000,416000
25025091100,2014,Census Tract 911,1178000,368000
25025100601,2014,Census Tract 1006.01,967000,389000
